Epoch = 254, Iter= 159, Average Epoch Loss= 0.0359248394
Epoch = 255, Iter= 159, Average Epoch Loss= 0.0358857925
Epoch = 256, Iter= 159, Average Epoch Loss= 0.0358457669
Epoch = 257, Iter= 159, Average Epoch Loss= 0.0358066736
Epoch = 258, Iter= 159, Average Epoch Loss= 0.0357655821
Epoch = 259, Iter= 159, Average Epoch Loss= 0.0357290793
Epoch = 260, Iter= 159, Average Epoch Loss= 0.0356903717
Epoch = 261, Iter= 159, Average Epoch Loss= 0.0356551811
Epoch = 262, Iter= 159, Average Epoch Loss= 0.0356242219
Epoch = 263, Iter= 159, Average Epoch Loss= 0.0355916684
Epoch = 264, Iter= 159, Average Epoch Loss= 0.0355567856
Epoch = 265, Iter= 159, Average Epoch Loss= 0.0355298972
Epoch = 266, Iter= 159, Average Epoch Loss= 0.0355043887
Epoch = 267, Iter= 159, Average Epoch Loss= 0.0354771979
Epoch = 268, Iter= 159, Average Epoch Loss= 0.0354515388
Epoch = 269, Iter= 159, Average Epoch Loss= 0.0354282468
Epoch = 270, Iter= 159, Average Epoch Loss= 0.0354113839
Epoch = 271, Iter= 159, Average Epoch Loss= 0.0353941482
Epoch = 272, Iter= 159, Average Epoch Loss= 0.0353805653
Epoch = 273, Iter= 159, Average Epoch Loss= 0.0353643960
Epoch = 274, Iter= 159, Average Epoch Loss= 0.0353432569
Epoch = 275, Iter= 159, Average Epoch Loss= 0.0353327819
Epoch = 276, Iter= 159, Average Epoch Loss= 0.0353176654
Epoch = 277, Iter= 159, Average Epoch Loss= 0.0353032746
Epoch = 278, Iter= 159, Average Epoch Loss= 0.0352911502
Epoch = 279, Iter= 159, Average Epoch Loss= 0.0352784315
Epoch = 280, Iter= 159, Average Epoch Loss= 0.0352667947
Epoch = 281, Iter= 159, Average Epoch Loss= 0.0352556215
Epoch = 282, Iter= 159, Average Epoch Loss= 0.0352439361
Epoch = 283, Iter= 159, Average Epoch Loss= 0.0352364395
Epoch = 284, Iter= 159, Average Epoch Loss= 0.0352246852
Epoch = 285, Iter= 159, Average Epoch Loss= 0.0352146781
Epoch = 286, Iter= 159, Average Epoch Loss= 0.0352012321
Epoch = 287, Iter= 159, Average Epoch Loss= 0.0351926930
Epoch = 288, Iter= 159, Average Epoch Loss= 0.0351869197
Epoch = 289, Iter= 159, Average Epoch Loss= 0.0351798453
Epoch = 290, Iter= 159, Average Epoch Loss= 0.0351705609
Epoch = 291, Iter= 159, Average Epoch Loss= 0.0351690856
Epoch = 292, Iter= 159, Average Epoch Loss= 0.0351591821
Epoch = 293, Iter= 159, Average Epoch Loss= 0.0351563229
Epoch = 294, Iter= 159, Average Epoch Loss= 0.0351518009
Epoch = 295, Iter= 159, Average Epoch Loss= 0.0351401180
Epoch = 296, Iter= 159, Average Epoch Loss= 0.0351292147
Epoch = 297, Iter= 159, Average Epoch Loss= 0.0351238228
Epoch = 298, Iter= 159, Average Epoch Loss= 0.0351128841
Epoch = 299, Iter= 159, Average Epoch Loss= 0.0351037601
Epoch = 300, Iter= 159, Average Epoch Loss= 0.0350962011
Epoch = 301, Iter= 159, Average Epoch Loss= 0.0350844695
Epoch = 302, Iter= 159, Average Epoch Loss= 0.0350747854
Epoch = 303, Iter= 159, Average Epoch Loss= 0.0350673534
Epoch = 304, Iter= 159, Average Epoch Loss= 0.0350607522
Epoch = 305, Iter= 159, Average Epoch Loss= 0.0350471434
Epoch = 306, Iter= 159, Average Epoch Loss= 0.0350329334
Epoch = 307, Iter= 159, Average Epoch Loss= 0.0350177160
Epoch = 308, Iter= 159, Average Epoch Loss= 0.0350000392
Epoch = 309, Iter= 159, Average Epoch Loss= 0.0349786866
Epoch = 310, Iter= 159, Average Epoch Loss= 0.0349653724
Epoch = 311, Iter= 159, Average Epoch Loss= 0.0349579896
Epoch = 312, Iter= 159, Average Epoch Loss= 0.0349416507
Epoch = 313, Iter= 159, Average Epoch Loss= 0.0349323915
Epoch = 314, Iter= 159, Average Epoch Loss= 0.0349237778
Epoch = 315, Iter= 159, Average Epoch Loss= 0.0349216540
Epoch = 316, Iter= 159, Average Epoch Loss= 0.0349177122
Epoch = 317, Iter= 159, Average Epoch Loss= 0.0349144822
Epoch = 318, Iter= 159, Average Epoch Loss= 0.0349143639
Epoch = 319, Iter= 159, Average Epoch Loss= 0.0349116690
Epoch = 320, Iter= 159, Average Epoch Loss= 0.0349099734
Epoch = 321, Iter= 159, Average Epoch Loss= 0.0349029931
